Package,Version,License(s)
apache-poi,"3.17, 4.1.2",Apache License 2.0
extglob,2.0.4,MIT License
@babel-helper-create-regexp-features-plugin,"7.14.5, 7.21.4, 7.16.0",MIT License
@esbuild-android-x64,0.17.8,MIT License
aws-java-sdk-for-ec2-image-builder,"1.12.261, 1.12.124, 1.11.892",Apache License 2.0
webjars-locator-core,0.52,MIT License
fastutil,6.5.7,Apache License 2.0
aws-java-sdk-third-party-jackson-core,2.17.30,Apache License 2.0
websocket-api,1.1,"(GNU General Public License v2.0 w/Classpath exception OR Common Development and Distribution License 1.1),Common Development and Distribution License 1.1"
go-toml,v1.2.0,MIT License
lodash-memoize,4.1.2,MIT License
setprototypeof,"1.1.1, 1.1.0",ISC License
@types-d3-timer,1.0.10,MIT License
aws-java-sdk-for-aws-robomaker,"1.11.892, 1.12.124, 1.12.261",Apache License 2.0
sindresorhus-is-stream,1.1.0,MIT License
k8s-io-klog,v1.0.0,Apache License 2.0
aws-java-sdk-for-aws-global-accelerator,"1.11.892, 1.12.261, 1.12.124",Apache License 2.0
aws-java-sdk-for-amazon-cloudwatch-events,"1.11.892, 1.12.261, 1.12.124",Apache License 2.0
jshttp's-negotiator,"0.6.2, 0.6.3",MIT License
inversify,5.1.1,MIT License
aws-java-sdk-for-aws-service-catalog,"1.12.261, 1.12.124, 1.11.892",Apache License 2.0
swagger-scala-module,"1.4.0, 2.5.0",Apache License 2.0
akka-remote,2.6.14,Apache License 2.0
is-date-object,"1.0.4, 1.0.5",MIT License
@babel-plugin-transform-computed-properties,"7.20.7, 7.14.5, 7.16.0",MIT License
less-loader,"10.0.0, 8.1.1",MIT License
cli-cursor,"1.0.2, 2.1.0, v3.1.0",MIT License
ws,1.1.1,Apache License 2.0
ansi-styles,"3.2.1, 5.2.0, v4.3.0, 2.2.1",MIT License
@babel-plugin-transform-for-of,"7.15.4, 7.14.5, 7.21.0, 7.16.0",MIT License
opencsv,2.3,Apache License 2.0
sockjs-client-node,1.5.1,MIT License
netty-resolver-dns-classes-macos,"4.1.77.Final, 4.1.91.Final, 4.1.70.Final",Apache License 2.0
@babel-plugin-proposal-export-namespace-from,"7.16.0, 7.14.5, 7.18.9",MIT License
akka-protobuf-v3,"2.6.16, 2.6.14, 2.6.19",Apache License 2.0
@types-source-list-map,0.1.2,MIT License
io-swagger-swagger-annotations,"1.5.20, 1.6.3, 2.2.8, 1.6.9, 2.1.10, 1.6.2",Apache License 2.0
@jimp-plugin-displace,0.10.3,MIT License
@babel-plugin-proposal-async-generator-functions,"7.14.7, 7.16.0, 7.15.4, 7.18.10, 7.20.7, 7.14.9",MIT License
aws-java-sdk-for-amazon-mechanical-turk-requester,"1.12.124, 1.12.261, 1.11.892",Apache License 2.0
aws-java-sdk-for-amazon-elastic-inference,"1.12.261, 1.11.892, 1.12.124",Apache License 2.0
clone-deep,4.0.1,MIT License
jshttp-content-type,1.0.4,MIT License
@angular-eslint-bundled-angular-compiler,14.4.0,MIT License
@jest-reporters,28.1.3,MIT License
@storybook-addon-viewport,6.5.10,MIT License
@webassemblyjs-ieee754,1.11.1,MIT License
karma-runner-karma,6.3.17,MIT License
socks-proxy-agent,5.0.1,MIT License
hadoop-mapreduce-client-shuffle,2.7.3,Apache License 2.0
@csstools-postcss-font-format-keywords,1.0.1,Creative Commons Zero v1.0 Universal
@types-uglify-js,3.13.1,MIT License
bs-logger,0.2.6,MIT License
@npmcli-fs,"1.0.0, 3.1.0, 2.1.2",ISC License
kryo-shaded,4.0.2,"BSD 3-clause ""New"" or ""Revised"" License"
ngrx-effects,12.0.0,MIT License
bcrypt-pbkdf,1.0.2,"BSD 3-clause ""New"" or ""Revised"" License"
ms-js,"2.1.1, 2.0.0, 2.1.3, 2.1.2",MIT License
tough-cookie,v2.5.0,"BSD 3-clause ""New"" or ""Revised"" License"
errno,0.1.8,MIT License
process-nextick-args,v2.0.1,MIT License
@babel-plugin-transform-modules-amd,"7.16.0, 7.14.5, 7.20.11",MIT License
aws-java-sdk-for-aws-certificate-manager-private-certificate-authority,"1.11.892, 1.12.124, 1.12.261",Apache License 2.0
terser-webpack-plugin,"5.1.3, 5.1.4",MIT License
aws-java-sdk-for-amazon-snowball,"1.12.261, 1.11.892, 1.12.124",Apache License 2.0
aws-java-sdk-for-amazon-swf,"1.12.261, 1.12.124, 1.11.892",Apache License 2.0
hive-shims-scheduler,1.2.2,Apache License 2.0
@types-d3-scale-chromatic,1.5.1,MIT License
postcss-normalize-whitespace,5.0.1,MIT License
kind-of,"4.0.0, 5.1.0, 6.0.3, 3.2.2",MIT License
for-in,1.0.2,MIT License
kubernetes-apiextensions-apiserver,v0.17.4,Apache License 2.0
@csstools-postcss-hwb-function,1.0.2,Creative Commons Zero v1.0 Universal
akka-http,"10.2.6, 10.0.0, 10.4.0, 10.2.7, 10.1.7","Apache License 2.0,Business Source License 1.1"
escalade,3.1.1,MIT License
joda-time,"2.9.7, 2.8.1, 2.9.6, 2.10.1, 2.10.5",Apache License 2.0
@angular-cdk,"14.2.7, 12.2.4, 12.1.4, 15.1.4",MIT License
zkclient,0.7,Apache License 2.0
beanvalidation-api,1.1.0,Apache License 2.0
@emotion-utils,0.11.3,MIT License
aws-java-sdk-for-amazon-personalize-runtime,"1.11.892, 1.12.261, 1.12.124",Apache License 2.0
kotlin,"1.4.10, 1.6.20, 1.8.10",Apache License 2.0
mockito-scala-specs2,1.4.0-beta.7,MIT License
@babel-helper-wrap-function,"7.14.5, 7.16.0, 7.20.5, 7.15.4",MIT License
aws-java-sdk-for-amazon-elastic-container-service-for-kubernetes,"1.12.124, 1.11.892, 1.12.261",Apache License 2.0
aws-java-sdk-for-amazon-connect-wisdom,"1.12.124, 1.12.261",Apache License 2.0
aws-java-sdk-for-aws-license-manager,"1.11.892, 1.12.261, 1.12.124",Apache License 2.0
@jimp-plugin-fisheye,0.10.3,MIT License
bonjour-service,1.1.1,MIT License
xom,1.2.10,GNU Lesser General Public License v2.1 or later
domelementtype,2.2.0,"BSD 2-clause ""Simplified"" License"
npm-ini,"2.0.0, 1.3.8",ISC License
circular-dependency-plugin,5.2.2,ISC License
hive-cli,1.2.2,Apache License 2.0
postcss-lab-function,2.0.1,Creative Commons Zero v1.0 Universal
@storybook-channels,"6.5.6, 6.5.10, 5.3.21",MIT License
get-stream,v4.1.0,MIT License
burntsushi-toml,v0.3.1,MIT License
aws-java-sdk-for-alexa-for-business,"1.11.892, 1.12.124, 1.12.261",Apache License 2.0
aws-java-sdk-for-aws-datasync,"1.11.892, 1.12.124, 1.12.261",Apache License 2.0
@typescript-eslint-experimental-utils,2.34.0,MIT License
json-smart,2.4.9,Apache License 2.0
@webassemblyjs-helper-wasm-bytecode,1.11.1,MIT License
aws-java-sdk-for-aws-elastic-beanstalk,"1.12.261, 1.12.124, 1.11.892",Apache License 2.0
fsevents,"2.3.2, 1.2.13",MIT License
merge2,1.4.1,MIT License
eslint-scope,v5.1.1,"BSD 2-clause ""Simplified"" License"
aws-java-sdk-for-aws-codestar-connections,"1.12.261, 1.11.892, 1.12.124",Apache License 2.0
find-cache-dir,"3.3.2, 3.3.1",MIT License
enhanced-resolve,"5.8.2, 5.7.0, 5.12.0",MIT License
google-guava,"24.0, 30.1, 27.0.1-jre, 20.0, v30.1.1, v31.0.1, v31.1, 19.0",Apache License 2.0
aws-java-sdk-for-amazon-polly,"1.12.124, 1.12.261, 1.11.892",Apache License 2.0
@babel-generator,"7.15.4, 7.16.0, 7.18.12, 7.20.14, 7.14.5, 7.18.10, 7.14.3, 7.21.4, 7.15.0",MIT License
@angular-language-service,"14.3.0, 12.2.4, 12.1.5",MIT License
node-semver,"5.7.1, 7.3.5, 7.0.0, 6.3.0",ISC License
emitter-component,1.3.0,MIT License
loglevel,1.7.1,MIT License
node-ignore,5.1.8,MIT License
snapdragon-util,3.0.1,MIT License
apache-httpclient,"4.5.5, 4.5.13, 4.5.9, 5.1.3, 3.1, 3.0.1",Apache License 2.0
gensync,1.0.0-beta.2,MIT License
jackson-module-paranamer,"2.13.4, 2.14.2, 2.13.3, 2.9.6",Apache License 2.0
reload4j,"1.2.18.0, 1.2.22",Apache License 2.0
aws-java-sdk-for-amazon-augmented-ai-runtime,"1.12.261, 1.12.124, 1.11.892",Apache License 2.0
kafka-connect-jms,0.3.0,Apache License 2.0
apache-commons-collections,"4.1, 4.4, 3.2.2",Apache License 2.0
node-graceful-fs,"4.2.8, 4.2.11, v4.2.6",ISC License
path-exists,"3.0.0, 4.0.0",MIT License
@babel-helper-function-name,"7.14.5, 7.18.9, 7.21.0, 7.16.0, 7.15.4",MIT License
@babel-plugin-transform-exponentiation-operator,"7.16.0, 7.18.6, 7.14.5",MIT License
@babel-plugin-transform-typeof-symbol,"7.16.0, 7.18.9, 7.14.5",MIT License
@babel-plugin-proposal-optional-catch-binding,"7.14.5, 7.18.6, 7.16.0",MIT License
encoding,v0.1.13,MIT License
is-path-inside,"1.0.1, v2.1.0",MIT License
decode-uri-component,"0.2.0, 0.2.2",MIT License
sass,1.35.1,MIT License
supergiant,"v2.0.0-rc.3, v1.0.0-beta.1",Apache License 2.0
http-parser-js,0.5.3,MIT License
lilconfig,2.0.3,MIT License
aws-java-sdk-for-amazon-lex-runtime-v2,"1.12.124, 1.12.261",Apache License 2.0
aws-java-sdk-for-aws-codestar-notifications,"1.11.892, 1.12.261, 1.12.124",Apache License 2.0
akka-testkit,"2.5.21, 2.6.14, 2.6.16",Apache License 2.0
scala-collection-compat,"2.6.0, 2.2.0, 2.0.0, 2.1.6",Apache License 2.0
asm-analysis,"6.0, 5.0.3, 6.2.1, 7.2","BSD 3-clause ""New"" or ""Revised"" License"
swagger-akka-http,"2.6.0, 1.6.0, 1.0.0",Apache License 2.0
create-hash,1.2.0,MIT License
@types-bonjour,3.5.10,MIT License
aws-java-sdk-for-aws-systems-manager-incident-manager-contacts,"1.12.124, 1.12.261",Apache License 2.0
aws-java-sdk-for-aws-single-sign-on-admin,"1.12.261, 1.11.892, 1.12.124",Apache License 2.0
@angular-devkit-build-webpack,"0.1502.6, 0.1402.11, 0.1200.5, 0.1201.4",MIT License
@emotion-styled-base,10.0.31,MIT License
aws-java-sdk-for-aws-amplify,"1.12.261, 1.12.124, 1.11.892",Apache License 2.0
go-autorest,"20191028-snapshot-3492b2af, logger/v0.1.0, autorest/mocks/v0.3.0, tracing/v0.5.0, autorest/date/v0.2.0",Apache License 2.0
aws-java-sdk-for-amazon-inspector-service,"1.11.892, 1.12.124, 1.12.261",Apache License 2.0
play-functional,"2.8.1, 2.9.3, 2.4.0-M1, 2.9.2",Apache License 2.0
buffer-indexof,1.1.1,MIT License
@esbuild-android-arm,0.17.8,MIT License
postcss-custom-properties,8.0.11,MIT License
postcss-loader,"v5.2.0, v6.1.0",MIT License
rgb-regex,1.0.1,MIT License
