Package,Version,License(s)
@nodelib-fs-stat,"2.0.5, 1.1.3",MIT License
babel-plugin-polyfill-regenerator,"0.2.3, 0.2.2, 0.4.1",MIT License
https-proxy-agent,"5.0.0, 2.2.4",MIT License
hex-color-regex,1.1.0,MIT License
@storybook-node-logger,"6.5.10, 6.5.6",MIT License
micromatch-braces,"3.0.2, 2.3.2",MIT License
@types-react,"16.14.30, 17.0.34",MIT License
is-path-in-cwd,"v1.0.1, v2.1.0",MIT License
prometheus-java-simpleclient,"0.0.22, 0.15.0, 0.11.0, 0.4.0",Apache License 2.0
scala,"2.11.11, 2.12.8, 2.12.17, 2.12.15, 2.11.12, v2.12.12, 2.10.6, v2.12.14, 2.12.4, 2.12.11, 2.12.6, v2.12.10","BSD 3-clause ""New"" or ""Revised"" License,Apache License 2.0,BSD 3-clause Clear License"
chalk,"v3.0.0, 1.1.3, 2.4.2, 4.1.2",MIT License
commander-js,"6.2.1, v2.20.3, v5.1.0, 7.2.0, 8.3.0, 4.1.1",MIT License
fs-realpath,1.0.0,ISC License
ent,2.2.0,MIT License
@types-json-schema,"7.0.9, 7.0.11",MIT License
@types-webpack-env,"1.16.3, 1.18.0",MIT License
@babel-preset-env,"7.16.0, 7.18.10, 7.14.2, 7.20.2, 7.4.5, 7.14.7",MIT License
aws-java-sdk-for-aws-cost-explorer,"1.12.124, 1.11.892, 1.12.261",Apache License 2.0
aws-java-sdk-for-access-analyzer,"1.12.261, 1.11.892, 1.12.124",Apache License 2.0
@types-node,"12.20.19, 16.11.7, 18.7.13, 12.20.23, 16.11.47, 16.7.10, 14.17.33, 16.4.12, 18.11.18",MIT License
apache-log4j,"2.17.2, 2.17.1",Apache License 2.0
aws-java-sdk-for-the-amazon-ec2-container-service,"1.12.261, 1.12.124, 1.11.892",Apache License 2.0
scottmotte-dotenv,8.6.0,"BSD 2-clause ""Simplified"" License"
@types-body-parser,1.19.2,MIT License
aws-java-sdk-for-amazon-macie,"1.11.892, 1.12.261, 1.12.124",Apache License 2.0
landoop-kafka-connect-common,"1.0.6, 2.0.0, 0.3.4, 1.0.5, 0.2.2",Apache License 2.0
aws-java-sdk-for-aws-amplify-ui-builder,"1.12.124, 1.12.261",Apache License 2.0
openconfig-grpctunnel,20220524-snapshot-125331ea,Apache License 2.0
apache-zookeeper,"3.6.1, 3.4.14, 3.8.0",Apache License 2.0
hive-service,1.2.2,Apache License 2.0
asm-util,"5.0.3, 6.0","BSD 3-clause ""New"" or ""Revised"" License"
@esbuild-linux-riscv64,0.17.8,MIT License
@babel-plugin-transform-destructuring,"7.21.3, 7.14.7, 7.16.0",MIT License
@jimp-plugin-rotate,0.10.3,MIT License
connect-history-api-fallback,"2.0.0, 1.6.0",MIT License
@mdx-js-react,1.6.22,MIT License
@typescript-eslint-typescript-estree,"2.34.0, 5.59.0, 5.43.0","BSD 2-clause ""Simplified"" License"
subsink,1.0.2,MIT License
node-http-signature,1.2.0,MIT License
timsort,0.3.0,MIT License
binary-extensions,"v2.2.0, 1.13.1",MIT License
immediate,3.0.6,MIT License
aspectj-runtime,1.9.4,Eclipse Public License 1.0
jackson-datatype-jsr310,"2.12.1, 2.11.4, 2.13.3, 2.10.1, 2.14.0",Apache License 2.0
nodeca-pako,1.0.11,MIT License
angular-cli,"12.2.4, 14.2.11, 15.2.6, 0.1200.5, 12.0.5, 0.1201.4, 12.1.4",MIT License
anymatch,"3.1.2, 2.0.0, 1.3.2",ISC License
aws-java-sdk-for-aws-rds-data,"1.11.892, 1.12.261, 1.12.124",Apache License 2.0
jakarta-mail,"1.5.1, 1.6.2, 1.4.3, 1.4.1","Common Development and Distribution License 1.1,(GNU General Public License v2.0 w/Classpath exception OR Common Development and Distribution License 1.1),Common Development and Distribution License 1.0,(GNU General Public License v2.0 w/Classpath exception OR Common Development and Distribution License 1.0)"
@storybook-jest,0.0.10,MIT License
apache-xml-graphics-commons,2.6,Apache License 2.0
@babel-plugin-transform-dotall-regex,"7.18.6, 7.16.0, 7.14.5",MIT License
astral-regex,2.0.0,MIT License
string-width,"1.0.2, 4.2.2, v3.1.0, 2.1.1",MIT License
lodash-uniq,4.5.0,MIT License
akka-http-spray-json,"10.1.7, 10.2.7, 10.2.6",Apache License 2.0
hadoop-yarn-common,3.3.4,Apache License 2.0
cssselect,v4.1.3,"BSD 2-clause ""Simplified"" License"
token-provider,1.0.1,Apache License 2.0
@jaspero-form-builder,1.8.0,MIT License
ssri,8.0.1,ISC License
jerseyguice,1.19,(Common Development and Distribution License 1.1 OR Sun GPL With Classpath Exception v2.0)
@jimp-plugin-shadow,0.10.3,MIT License
aws-java-sdk-for-amazon-appstream,"1.11.892, 1.12.261, 1.12.124",Apache License 2.0
@webassemblyjs-utf8,1.11.1,MIT License
aws-java-sdk-for-amazon-pinpoint-sms-voice-v2,1.12.261,Apache License 2.0
aws-java-sdk-for-aws-lake-formation,"1.12.261, 1.11.892, 1.12.124",Apache License 2.0
custom-event,1.0.1,MIT License
@angular-animations,"12.2.4, 14.3.0, 12.1.5",MIT License
aws-java-sdk-for-amazon-appflow,"1.12.261, 1.11.892, 1.12.124",Apache License 2.0
aws-java-sdk-for-amazonmq,"1.11.892, 1.12.261, 1.12.124",Apache License 2.0
jackson-module-scala,"2.13.3, 2.13.4, 2.14.2, 2.9.6",Apache License 2.0
@storybook-manager-webpack5,6.5.10,MIT License
p-limit,"3.1.0, 2.3.0",MIT License
zstd-jni,"1.5.2-1, 1.5.2-3, 1.4.5-6, 1.4.4-7","BSD 2-clause ""Simplified"" License"
kerby-kerb-common,1.0.1,Apache License 2.0
webankfintech-fate,"v1.8.0, v0.1",Apache License 2.0
aws-java-sdk-core-protocols-json-utils,2.17.30,Apache License 2.0
aws-java-sdk-for-amazon-kinesis-video-streams-media,"1.11.892, 1.12.124, 1.12.261",Apache License 2.0
aws-java-sdk-for-aws-iot-events-data,"1.12.261, 1.11.892, 1.12.124",Apache License 2.0
@babel-helper-string-parser,"7.19.4, 7.18.10",MIT License
@storybook-telemetry,"6.5.10, 6.5.6",MIT License
@babel-plugin-transform-modules-systemjs,"7.14.5, 7.15.4, 7.16.0, 7.20.11",MIT License
apache-hadoop,3.3.4,Apache License 2.0
aws-java-sdk-for-amazon-s3-on-outposts,"1.12.124, 1.11.892, 1.12.261",Apache License 2.0
@types-d3-drag,1.2.5,MIT License
@babel-helper-validator-identifier,"7.15.7, 7.18.6, 7.19.1, 7.14.9",MIT License
acorn,"8.8.2, 8.8.0, 7.4.1, 8.7.1, 8.4.1",MIT License
javassist,"3.21.0, 3.12.1, rel_3_25_0_ga","(Mozilla Public License 1.1 OR GNU Lesser General Public License v2.1 or later OR Apache License 2.0),Apache License 2.0"
camelcase,"5.3.1, 6.2.0, 4.1.2, 2.1.1",MIT License
d3-format,1.4.5,"BSD 3-clause ""New"" or ""Revised"" License"
@xtuc-ieee754,1.2.0,"BSD 3-clause ""New"" or ""Revised"" License"
swagger-parser,"1.0.64, 2.1.12, 1.0.38",Apache License 2.0
aws-java-sdk-for-aws-data-exchange,"1.12.124, 1.11.892, 1.12.261",Apache License 2.0
aws-java-sdk-for-amazon-appconfig,"1.11.892, 1.12.124, 1.12.261",Apache License 2.0
microsoft-tslib,"2.1.0, 2.3.0, 2.3.1, 1.9.0, 2.2.0, 1.14.1","BSD Zero Clause License,Apache License 2.0"
@babel-plugin-transform-block-scoping,"7.16.0, 7.15.3, 7.14.5, 7.21.0",MIT License
@typescript-eslint-scope-manager,"5.59.0, 5.43.0",MIT License
convert-source-map,"1.1.3, 1.8.0",MIT License
apache-log4j-api,"2.17.2, 2.17.1",Apache License 2.0
aws-java-sdk-for-amazon-codeguru-profiler,"1.11.892, 1.12.124, 1.12.261",Apache License 2.0
parquet-pig-bundle,1.6.0,Apache License 2.0
hadoop-yarn-registry,3.3.4,Apache License 2.0
apache-log4j-slf4j-binding,"2.17.2, 2.17.1",Apache License 2.0
call-bind,1.0.2,MIT License
console-control-strings,1.1.0,ISC License
aws-java-sdk-for-aws-config,"1.12.124, 1.12.261, 1.11.892",Apache License 2.0
css-parse,2.0.0,MIT License
define-property,"2.0.2, 1.0.0, 0.2.5",MIT License
json-schema,0.4.0,"(BSD 3-clause ""New"" or ""Revised"" License OR Academic Free License v2.1)"
arr-diff,"2.0.0, 4.0.0",MIT License
@gar-promisify,"1.1.2, 1.1.3",MIT License
kafka-connect-avro-converter,"6.0.0, 6.1.0",Apache License 2.0
aws-java-sdk-for-aws-iot-things-graph,"1.12.124, 1.11.892, 1.12.261",Apache License 2.0
core,"1.1.1, 1.4.0, 2.3.3, 3.2.0, 0.13.0",Apache License 2.0
aws-java-sdk-for-aws-app-mesh,"1.11.892, 1.12.261, 1.12.124",Apache License 2.0
aws-java-sdk-for-aws-glue-databrew,"1.12.124, 1.12.261",Apache License 2.0
@babel-plugin-proposal-object-rest-spread,"7.3.2, 7.20.7, 7.12.1, 7.14.7, 7.16.0",MIT License
bouncy-castle,"1.70, 1.60, 1.69",MIT License
@ngrx-schematics,"12.4.0, 14.2.0",MIT License
node-releases,"1.1.73, 1.1.75",MIT License
java-architecture-for-xml-binding,"2.2.12, 2.3.2, 3.0.0, 2.3.0","(GNU General Public License v2.0 w/Classpath exception OR Common Development and Distribution License 1.1),Eclipse Distribution License - v 1.0,Common Development and Distribution License 1.1"
postcss-color-mod-function,3.0.3,Creative Commons Zero v1.0 Universal
backo2,1.0.2,MIT License
node-cross-spawn,"7.0.3, 6.0.5",MIT License
@nodelib-fs-walk,1.2.8,MIT License
io-grpc-grpc-context,"1.51.1, 1.45.1, 1.13.1, 1.51.0, 1.48.1",Apache License 2.0
slf4j-log4j-12-binding,1.7.6,MIT License
antlr,"2.7.7, 3.4","ANTLR Software Rights Notice,BSD 3-clause ""New"" or ""Revised"" License"
@babel-highlight,"7.16.0, 7.18.6, 7.14.5",MIT License
aws-java-sdk-for-amazon-textract,"1.12.124, 1.11.892, 1.12.261",Apache License 2.0
akka-cluster-metrics,2.6.14,Apache License 2.0
@storybook-core,"6.5.6, 6.5.10",MIT License
adjust-sourcemap-loader,4.0.0,MIT License
@storybook-csf-tools,"6.5.10, 6.5.6",MIT License
akka-stream,"2.6.16, 2.6.19, 2.5.14, 2.6.14, 2.4.14",Apache License 2.0
@angular-cli,"12.2.4, 14.2.11, 12.1.4",MIT License
@types-react-syntax-highlighter,"11.0.4, 11.0.5",MIT License
minipass,v3.1.3,ISC License
golang-glog,20160125-snapshot-23def4e6,Apache License 2.0
aws-java-sdk-for-awsbillingconductor,1.12.261,Apache License 2.0
cloudevents-api,2.3.0,Apache License 2.0
@csstools-postcss-color-function,1.1.1,Creative Commons Zero v1.0 Universal
aws-java-sdk-for-aws-health-apis-and-notifications,"1.12.124, 1.11.892, 1.12.261",Apache License 2.0
@babel-plugin-transform-runtime,"7.19.6, 7.14.5, 7.18.10, 7.2.0, 7.14.3",MIT License
require-main-filename,2.0.0,ISC License
compiler-interface,0.13.15,"BSD 3-clause ""New"" or ""Revised"" License"
sindresorhus-supports-color,"5.5.0, v7.2.0, 6.1.0, 8.1.1",MIT License
@eslint-eslintrc,2.0.2,MIT License
@ngrx-router-store,"14.2.0, 12.4.0",MIT License
aws-java-sdk-for-amazon-lookout-for-metrics,"1.12.124, 1.12.261",Apache License 2.0
aws-java-sdk-for-amazon-workmail-message-flow,"1.12.124, 1.11.892, 1.12.261",Apache License 2.0
@types-cypress,1.1.3,MIT License
ajv-errors,1.0.1,MIT License
apache-commons-fileupload,1.5,Apache License 2.0
@jridgewell-sourcemap-codec,"1.4.15, 1.4.14",MIT License
aws-java-sdk-for-amazon-documentdb-with-mongodb-compatibility,"1.11.892, 1.12.124, 1.12.261",Apache License 2.0
@types-express-serve-static-core,4.17.33,MIT License
hadoop-yarn-client,2.7.3,Apache License 2.0
@babel-plugin-syntax-top-level-await,7.14.5,MIT License
nan,2.15.0,MIT License
hadoop-mapreduce-client-core,2.7.3,Apache License 2.0
javax-inject-1-as-osgi-bundle,2.6.1,"Eclipse Public License 2.0,(GNU General Public License v2.0 w/Classpath exception OR Eclipse Public License 2.0)"
scalamock-scalatest-support,3.6.0,MIT License
aws-java-sdk-for-redshift-data-api,"1.12.261, 1.12.124, 1.11.892",Apache License 2.0
postcss,"7.0.36, 8.3.0, 8.3.5, 8.3.6",MIT License
@jridgewell-trace-mapping,"0.3.14, 0.3.18, 0.3.15",MIT License
netty-project,"4.1.91.Final, 3.10.6.Final, 4.1.73.Final, 4.1.66.Final, 4.1.67.Final, 4.1.72.Final, 4.1.68.Final, 4.1.70.Final, 4.1.77.Final, 4.1.48.Final",Apache License 2.0
@types-d3-time-format,2.3.1,MIT License
del-using-globs,"v4.1.1, 2.2.2",MIT License
@jimp-gif,0.10.3,MIT License
strip-ansi,"4.0.0, 5.2.0, 3.0.1, 6.0.0",MIT License
@babel-helper-annotate-as-pure,"7.18.6, 7.15.4, 7.16.0, 7.14.5",MIT License
has-ansi,2.0.0,MIT License
@jimp-plugin-resize,0.10.3,MIT License
chill-scala,0.3.0,Apache License 2.0
error-prone-annotations,"2.1.2, 2.1.3, 2.2.0, 2.10.0, 2.14.0, 2.3.4, 2.7.1, 2.5.1",Apache License 2.0
hive-shims-0-23,1.2.2,Apache License 2.0
aws-java-sdk-for-aws-mediaconnect,"1.12.261, 1.11.892, 1.12.124",Apache License 2.0
hpcloud-tail,v1.0.0,MIT License
aws-java-sdk-for-aws-sso-oidc,"1.12.124, 1.11.892, 1.12.261",Apache License 2.0
aws-sdk-for-java,"2.17.30, 1.12.261, 1.11.892, 1.12.454, 1.12.276, 1.12.124, 1.12.277",Apache License 2.0
jffi-java-foreign-function-interface,"1.2.16, 1.2.18",Apache License 2.0
object-keys,1.1.1,MIT License
asm-based-accessors-helper-used-by-json-smart,2.4.9,Apache License 2.0
@babel-plugin-transform-regenerator,"7.14.5, 7.20.5, 7.16.0",MIT License
@popmotion-easing,1.0.2,MIT License
play-iteratees,2.4.0-M1,Apache License 2.0
io-grpc-grpc-core,"1.45.1, 1.48.1, 1.13.1, 1.51.0",Apache License 2.0
aws-java-sdk-for-amazon-cognito-identity-provider-service,"1.11.892, 1.12.261, 1.12.124",Apache License 2.0
node-promise-retry,2.0.1,MIT License
aws-java-sdk-for-amazon-lookout-for-equipment,"1.12.261, 1.12.124",Apache License 2.0
scalatest,"3.0.5, 3.2.15, 3.0.6",Apache License 2.0
prr,1.0.1,MIT License
clone-regexp,v2.2.0,MIT License
@samverschueren-stream-to-observable,0.3.1,MIT License
aws-java-sdk-for-aws-backup,"1.12.261, 1.12.124, 1.11.892",Apache License 2.0
aws-java-sdk-for-amazon-elastic-transcoder,"1.11.892, 1.12.261, 1.12.124",Apache License 2.0
apache-hadoop-distributed-copy,3.3.4,Apache License 2.0
@babel-plugin-proposal-json-strings,"7.16.0, 7.14.5, 7.18.6",MIT License
netty-handler-ssl-ocsp,4.1.91.Final,Apache License 2.0
aws-java-sdk-for-aws-lex,"1.12.124, 1.12.261, 1.11.892",Apache License 2.0
dir-glob,3.0.1,MIT License
buffer-crc32,0.2.13,MIT License
org-jetbrains-kotlin-kotlin-stdlib-jdk8,"1.4.10, 1.6.10, 1.5.31",Apache License 2.0
nice-try,1.0.5,MIT License
array-unique,"0.3.2, 0.2.1",MIT License
path-key,"2.0.1, 3.1.1",MIT License
spray-json,"v1.3.6, v1.3.5",Apache License 2.0
rocksdb-jni,"7.1.2, 5.18.4","(Apache License 2.0 AND GNU General Public License v2.0 or later),Apache License 2.0"
aws-java-sdk-for-aws-iot-secure-tunneling,"1.12.124, 1.12.261, 1.11.892",Apache License 2.0
nodejs-asn1,0.2.4,MIT License
@angular-devkit-build-angular,"14.2.11, 15.2.6, 12.1.4, 12.0.5",MIT License
bn-js,"5.2.0, v4.12.0",MIT License
aws-java-sdk-for-amazon-simpledb,"1.12.124, 1.11.892, 1.12.261",Apache License 2.0
aws-java-sdk-for-aws-lambda,"1.12.261, 1.12.124, 1.11.892",Apache License 2.0
aws-java-sdk-for-aws-outposts,"1.12.261, 1.12.124, 1.11.892",Apache License 2.0
@angular-common,"12.1.5, 14.3.0, 12.2.4",MIT License
postcss-value-parser,4.1.0,MIT License
aws-java-sdk-for-amazon-location,"1.12.261, 1.12.124",Apache License 2.0
buffer-xor,1.0.3,MIT License
jasmine-spec-reporter,5.0.2,Apache License 2.0
allure-model-integration,2.13.2,Apache License 2.0
@types-cytoscape-context-menus,4.1.2,MIT License
apache-velocity,1.5,Apache License 2.0
@types-react-dom,16.9.16,MIT License
scalastyle-style-checker-for-scala,1.0.0,Apache License 2.0
aws-java-sdk-for-aws-securityhub,"1.12.124, 1.11.892, 1.12.261",Apache License 2.0
asm-tree,"6.0, 3.1, 6.2.1, 7.2, 5.0.3","BSD 3-clause ""New"" or ""Revised"" License"
aws-java-sdk-for-aws-code-build,"1.12.261, 1.11.892, 1.12.124",Apache License 2.0
d3-geo,1.12.1,"BSD 3-clause ""New"" or ""Revised"" License"
aws-java-sdk-for-aws-elemental-mediaconvert,"1.12.261, 1.11.892, 1.12.124",Apache License 2.0
read-cache,1.0.0,MIT License
apache-avro-compiler,1.9.2,Apache License 2.0
aws-java-sdk-for-inspector2,"1.12.124, 1.12.261",Apache License 2.0
@types-d3-collection,1.0.10,MIT License
apache-commons-beanutils,1.9.4,Apache License 2.0
@esbuild-win32-ia32,0.17.8,MIT License
aws-java-sdk-for-aws-resource-access-manager,"1.11.892, 1.12.261, 1.12.124",Apache License 2.0
ngx-web-worker,0.0.1,MIT License
nanoid,3.3.2,MIT License
aws-java-sdk-for-amazon-honeycode,"1.12.124, 1.12.261, 1.11.892",Apache License 2.0
map-age-cleaner,0.1.3,MIT License
@babel-plugin-transform-literals,"7.14.5, 7.18.9, 7.16.0",MIT License
ngx-toastr,"13.2.0, 5.3.1, 14.1.0",MIT License
mute-stream,0.0.8,ISC License
har-validator,5.1.5,MIT License
number-is-nan,1.0.1,MIT License
scalatestflatspec,3.2.15,Apache License 2.0
kubesphere-kubesphere,advanced-2.0.2,Apache License 2.0
commonjs-assert,"2.0.0, v1.5.0",MIT License
d3-path,1.0.9,"BSD 3-clause ""New"" or ""Revised"" License"
prometheus-java-span-context-supplier-common,"0.15.0, 0.11.0",Apache License 2.0
sigs-k8s-io-yaml,v1.1.0,"(MIT License AND BSD 3-clause ""New"" or ""Revised"" License)"
aws-java-sdk-for-amazon-pinpoint,"1.12.124, 1.11.892, 1.12.261",Apache License 2.0
aws-java-sdk-for-aws-codedeploy,"1.12.261, 1.11.892, 1.12.124",Apache License 2.0
utils,"7.4.0, 6.1.0, 6.0.0",Apache License 2.0
@babel-plugin-syntax-async-generators,7.8.4,MIT License
babel-loader,"8.2.3, 9.1.2, 8.2.5, 8.2.2",MIT License
cpy,8.1.2,MIT License
postcss-nesting,7.0.1,Creative Commons Zero v1.0 Universal
babel-traverse,"7.15.0, 7.21.4, 7.18.11, 7.15.4, 7.16.3",MIT License
aws-java-sdk-for-aws-iot-core-device-advisor,"1.12.261, 1.12.124",Apache License 2.0
hive-metastore,1.2.2,Apache License 2.0
@webassemblyjs-floating-point-hex-parser,1.11.1,MIT License
@storybook-mdx1-csf,0.0.1,MIT License
destroy,"1.0.4, 1.2.0",MIT License
http-deceiver,1.2.7,MIT License
@angular-eslint-eslint-plugin,14.4.0,MIT License
aws-java-sdk-for-amazon-managed-blockchain,"1.12.124, 1.11.892, 1.12.261",Apache License 2.0
@npmcli-node-gyp,"1.0.2, 2.0.0",ISC License
@types-istanbul-lib-coverage,2.0.3,MIT License
send,0.17.1,MIT License
@cypress-request,"2.88.7, 2.88.5",Apache License 2.0
netty-tomcatnative-[boringssl-static],2.0.8.Final,Apache License 2.0
aws-java-sdk-for-aws-database-migration-service,"1.11.892, 1.12.261, 1.12.124",Apache License 2.0
d3-contour,1.3.2,"BSD 3-clause ""New"" or ""Revised"" License"
golang-text,"v0.3.7, v0.3.6","BSD 3-clause ""New"" or ""Revised"" License"
npm-normalize-package-bin,1.0.1,ISC License
unicode-match-property-value-ecmascript,1.2.0,MIT License
source-map,"0.5.7, 0.6.1, 0.7.3","BSD 3-clause ""New"" or ""Revised"" License"
converter-jackson,2.9.0,Apache License 2.0
@babel-plugin-syntax-private-property-in-object,7.14.5,MIT License
d3-selection,1.4.2,"BSD 3-clause ""New"" or ""Revised"" License"
@babel-plugin-syntax-nullish-coalescing-operator,7.8.3,MIT License
hadoop-mapreduce-client-app,2.7.3,Apache License 2.0
asm-commons,"5.0.3, 6.0, 3.1, 7.2, 6.2.1","BSD 3-clause ""New"" or ""Revised"" License"
reusify,1.0.4,MIT License
@babel-helper-compilation-targets,"7.18.9, 7.15.4, 7.15.0, 7.21.4, 7.16.3",MIT License
@types-d3-dsv,1.2.1,MIT License
pinkie-promise,2.0.1,MIT License
@babel-plugin-proposal-class-static-block,"7.14.5, 7.21.0, 7.15.4, 7.16.0",MIT License
node-source-map-support,"v0.5.19, 0.4.18, 0.5.21",MIT License
aws-java-sdk-for-aws-application-discovery-service,"1.12.261, 1.12.124, 1.11.892",Apache License 2.0
j2objc-annotations,"1.3, 1.1",Apache License 2.0
@babel-helper-module-imports,"7.15.4, 7.18.6, 7.16.0, 7.14.5",MIT License
aws-java-sdk-for-aws-cloudhsm-v2,"1.11.892, 1.12.124, 1.12.261",Apache License 2.0
mdlayher-genetlink,v1.0.0,MIT License
objenesis,2.6,Apache License 2.0
@popmotion-popcorn,0.4.4,MIT License
d3-selection-multi,1.0.1,"BSD 3-clause ""New"" or ""Revised"" License"
aws-java-sdk-for-amazon-sagemaker-edge-manager,"1.12.124, 1.12.261",Apache License 2.0
hpack-js,2.1.6,MIT License
jmx_prometheus_javaagent,"0.16.1, 0.18.0, 0.11.0, 0.17.1",Apache License 2.0
airbnb-js-shims,2.2.1,MIT License
frankban-quicktest,1.11.3,MIT License
ldapsdk,4.0.11,"(GNU Lesser General Public License v2.1 or later OR UnboundID LDAP SDK Free Use License OR GNU General Public License v2.0 or later),UnboundID LDAP SDK Free Use License"
@webassemblyjs-wasm-edit,1.11.1,MIT License
kubernetes-client-api,"17.0.0, 13.0.0, 18.0.0",Apache License 2.0
aws-java-sdk-for-aws-ground-station,"1.11.892, 1.12.124, 1.12.261",Apache License 2.0
@babel-runtime,"7.20.13, 7.14.6, 7.3.1, 7.15.4, 7.14.0, 7.18.9, 7.14.8, 7.16.3",MIT License
bonecp,0.8.0.RELEASE,Apache License 2.0
base64-js,1.5.1,MIT License
component-inherit,0.0.3,MIT License
scalatest-freespec,3.2.15,Apache License 2.0
opensaml-2-0,2.6.4,Apache License 2.0
body-parser,"1.19.0, 1.20.1",MIT License
aws-java-sdk-for-amazon-personalize,"1.12.261, 1.12.124, 1.11.892",Apache License 2.0
aws-java-sdk-for-aws-systems-manager-incident-manager,"1.12.261, 1.12.124",Apache License 2.0
run-async,2.4.1,MIT License
aws-java-sdk-for-aws-iot-events,"1.12.124, 1.11.892, 1.12.261",Apache License 2.0
@typescript-eslint-type-utils,"5.59.0, 5.43.0",MIT License
criteriontest,"2.3.0-rc1, v1.2.0",MIT License
ansi-html,0.0.8,Apache License 2.0
postcss-initial,3.0.4,MIT License
scala-stm,0.7,"BSD 3-clause ""New"" or ""Revised"" License"
babel-plugin-polyfill-corejs3,"0.6.0, 0.2.4, 0.3.0, 0.1.7, 0.5.3",MIT License
type-fest,0.21.3,(MIT License OR Creative Commons Zero v1.0 Universal)
aws-java-sdk-for-aws-pricing,"1.12.261, 1.11.892, 1.12.124",Apache License 2.0
@csstools-postcss-ic-unit,1.0.1,Creative Commons Zero v1.0 Universal
aws-java-sdk-for-aws-application-cost-profiler,"1.12.124, 1.12.261",Apache License 2.0
has-flag,"4.0.0, 3.0.0",MIT License
operator-sdk,"v0.8.0, v0.17.2, v0.16.0",Apache License 2.0
config,6.0.0,Apache License 2.0
@jimp-plugin-normalize,0.10.3,MIT License
aws-java-sdk-for-amazon-forecast-query,"1.12.261, 1.12.124, 1.11.892",Apache License 2.0
aws-java-sdk-for-aws-elemental-mediastore-data-plane,"1.12.124, 1.11.892, 1.12.261",Apache License 2.0
aws-java-sdk-for-aws-glue,"1.12.124, 1.12.261, 1.11.892",Apache License 2.0
akka-management-pki,"1.1.3, 1.1.1",Apache License 2.0
cssesc,"2.0.0, 3.0.0",MIT License
aws-java-sdk-for-awsmainframemodernization,1.12.261,Apache License 2.0
jnr-x86asm,1.0.2,MIT License
apache-commons-lang,"2.6, 3.2.1, 3.9, 3.8.1, 3.12.0",Apache License 2.0
@types-mime,3.0.1,MIT License
debug-js-debug,"3.1.0, 4.3.4, 4.3.2, 4.3.1, 3.2.7, 2.6.9",MIT License
is-data-descriptor,"1.0.0, 0.1.4",MIT License
apache-yetus-audience-annotations,"0.5.0, 0.12.0, 0.13.0",Apache License 2.0
jax-rs-provider-for-json-content-type,1.9.2,(GNU Lesser General Public License v2.1 or later AND Apache License 2.0)
builtins,"1.0.3, 5.0.1",MIT License
capture-exit,2.0.0,ISC License
@storybook-postinstall,"6.5.6, 6.5.10",MIT License
clean-stack,2.2.0,MIT License
swagger-integration-jakarta,2.1.11,Apache License 2.0
nimbus-jose-jwt,9.8.1,Apache License 2.0
ecc-jsbn,0.1.2,MIT License
@babel-types,"7.15.0, 7.21.4, 7.18.10, 7.16.0, 7.15.4",MIT License
@esbuild-freebsd-arm64,0.17.8,MIT License
cpx-node,1.5.0,MIT License
osgi-resource-locator-bundle,1.0.3,"(GNU General Public License v2.0 w/Classpath exception OR Eclipse Public License 2.0),Eclipse Public License 2.0"
aws-java-sdk-core-protocols-aws-json-protocol,2.17.30,Apache License 2.0
union-value,1.0.1,MIT License
mapstructure,v1.1.2,MIT License
@npmcli-run-script,"4.2.1, 1.8.6, 1.8.5",ISC License
aws-java-sdk-for-aws-iot-1-click-projects,"1.11.892, 1.12.124, 1.12.261",Apache License 2.0
css-what,v5.0.1,"BSD 2-clause ""Simplified"" License"
btf,"1.2, 1.3","(Apache License 2.0 AND GNU Lesser General Public License v3.0 or later),(Apache License 2.0 OR GNU Lesser General Public License v3.0 or later),Apache License 2.0"
to-regex-range,"2.1.1, 5.0.1",MIT License
@angular-eslint-schematics,14.4.0,MIT License
aproba,"2.0.0, 1.2.0",ISC License
golang-org-x-sys,"20220722-snapshot-8c9f86f7, 20220114-snapshot-da31bd32","BSD 3-clause ""New"" or ""Revised"" License"
aws-java-sdk-for-amazon-route53,"1.11.892, 1.12.124, 1.12.261",Apache License 2.0
log4js-node,6.4.4,Apache License 2.0
@babel-plugin-transform-async-to-generator,"7.16.0, 7.18.6, 7.13.0, 7.20.7, 7.14.5",MIT License
apache-avro-ipc,1.11.1,Apache License 2.0
jackson-dataformats-binary,"2.6.7, 2.12.3, 2.11.4, 2.12.6",Apache License 2.0
swagger-core,"2.2.8, 1.6.3, 1.6.9, 1.5.21, 1.5.20",Apache License 2.0
postcss-normalize-unicode,5.0.1,MIT License
@angular-platform-browser-dynamic,"12.1.5, 12.2.4, 14.3.0",MIT License
github-com-go-logr-zapr,v0.1.1,Apache License 2.0
@babel-plugin-transform-spread,"7.16.0, 7.14.6, 7.20.7",MIT License
aws-java-sdk-for-amazon-detective,"1.12.261, 1.11.892, 1.12.124",Apache License 2.0
@babel-preset-typescript,7.16.0,MIT License
browserslist,"4.17.0, 4.17.6, 4.16.7",MIT License
aws-java-sdk-for-aws-fault-injection-simulator,"1.12.261, 1.12.124",Apache License 2.0
protocol-buffer-java-util-package,3.21.7,"BSD 3-clause ""New"" or ""Revised"" License"
@jest-core,28.1.3,MIT License
es6-promisify,5.0.0,MIT License
bluebird-js,"3.5.3, 3.7.2",MIT License
aws-java-sdk-for-aws-iot-fleet-hub,"1.12.261, 1.12.124",Apache License 2.0
