Package,Version,License(s)
babel-plugin-transform-object-rest-spread,6.26.0,MIT License
uri-js,4.4.1,"BSD 2-clause ""Simplified"" License"
json5,"0.5.1, 1.0.1, v2.2.0",MIT License
define-property,"0.2.5, 1.0.0, 2.0.2",MIT License
Commander.js,"2.13.0, 2.17.1, 2.19.0, 4.1.1, v2.20.3, v7.2.0, 6.2.1, v5.1.0, 8.3.0",MIT License
@babel-helper-plugin-utils,"7.10.4, 7.0.0, 7.14.5",MIT License
JMES Path Query library,"1.11.911, 1.12.57, 1.11.892",Apache License 2.0
agent-base,"4.3.0, 6.0.2",MIT License
is-windows,1.0.2,MIT License
@bcoe-v8-coverage,0.2.3,MIT License
@angular-core,"9.0.0, 12.2.13, 12.1.5, 12.2.4",MIT License
@babel-plugin-proposal-async-generator-functions,"7.14.7, 7.15.4, 7.14.9, 7.16.0, 7.1.0",MIT License
org.junit.jupiter:junit-jupiter-api,5.4.2,Eclipse Public License 2.0
p-limit,"2.0.0, 2.3.0, 3.1.0, 1.3.0",MIT License
redis-py,"2.10.5, 2.4.7",MIT License
DomHandler,"4.2.2, 4.2.0, 2.1.0, 2.4.2","BSD 2-clause ""Simplified"" License"
object-hash,1.3.0,MIT License
Lift Json,3.4.3,Apache License 2.0
Guava: Google Core Libraries for Java,"24.0, v25.1, v28.1, 19.0, 20.0, 30.1-jre",Apache License 2.0
@babel-parser,"7.1.3, 7.15.0, 7.15.5, 7.16.3",MIT License
modern-go-concurrent,"20180305-snapshot-bacd9c7e, 20180228-snapshot-e0a39a4c",Apache License 2.0
akka-actor,"2.6.14, 2.6.15",Apache License 2.0
openshift-knative-knative-eventing-operator,v0.4.1,Apache License 2.0
golang.org-x-lint,"20190301-snapshot-5614ed5b, 20190930-snapshot-16217165","BSD 3-clause ""New"" or ""Revised"" License"
pinkie-promise,2.0.1,MIT License
hashicorp-hcl,v1.0.0,Mozilla Public License 2.0
browserify-resolve,"1.8.1, 1.1.7, v1.20.0",MIT License
Apache Commons Compress,"1.8.1, 1.21, 1.19",Apache License 2.0
cffi,1.15.0,MIT License
@babel-plugin-proposal-numeric-separator,"7.16.0, 7.14.5",MIT License
@webassemblyjs-wasm-parser,"1.11.1, 1.7.6, 1.9.0, 1.11.0",MIT License
@babel-plugin-transform-named-capturing-groups-regex,"7.16.0, 7.14.9",MIT License
kubernetes-apiextensions-apiserver,"v0.17.3-beta.0, v0.17.4, v0.17.2",Apache License 2.0
AWS Java SDK for Amazon ElastiCache,1.11.892,Apache License 2.0
@angular-eslint-builder,12.6.1,MIT License
@base2-pretty-print-object,1.0.1,"BSD 2-clause ""Simplified"" License"
@babel-plugin-transform-sticky-regex,"7.14.5, 7.0.0, 7.16.0",MIT License
fastq,"1.11.1, 1.12.0",ISC License
Apache POI: OOXML-schemas,"4.1.2, 3.17",Apache License 2.0
@babel-plugin-transform-react-jsx-source,"7.0.0, 7.16.0",MIT License
@babel-core,"7.15.5, 7.1.2, 7.14.3, 7.4.5, 7.16.0, 7.1.0, 7.12.9, 7.14.6, 7.15.0",MIT License
@babel-plugin-transform-arrow-functions,"7.14.5, 7.0.0, 7.16.0",MIT License
AWS Java SDK for AWS Single Sign-On,1.11.892,Apache License 2.0
cssnano,"4.1.7, v2.0.1, 5.0.10, 5.0.7, 5.0.8",MIT License
@babel-preset-modules,"0.1.5, 0.1.4",MIT License
client-java-proto,13.0.0,Apache License 2.0
CloudWatch Metrics for AWS Java SDK,1.11.892,Apache License 2.0
nodejs Deprecate,1.1.2,MIT License
@webassemblyjs-helper-api-error,"1.9.0, 1.11.1, 1.11.0, 1.7.6",MIT License
golang-appengine,"v1.4.0, v1.5.0",Apache License 2.0
cssnano-util-same-parent,4.0.1,MIT License
AWS Java SDK for Amazon SQS,1.11.892,Apache License 2.0
@babel-helper-get-function-arity,"7.16.0, 7.14.5, 7.0.0, 7.15.4",MIT License
