Package, Version, License(s)
grep, 2.20-4.1, GPL;GPL-3;GPL-3+
groff-base, 1.22.2-8, BSD;GFDL-1;GPL;GPL-3;MIT;public domain
grub-common, 2.02-cl3u3, CC-BY-SA-3.0;Expat;GPL;GPL-3+
grub-pc, 2.02-cl3u3, CC-BY-SA-3.0;Expat;GPL;GPL-3+
grub-pc-bin, 2.02-cl3u3, CC-BY-SA-3.0;Expat;GPL;GPL-3+
grub2-common, 2.02-cl3u3, CC-BY-SA-3.0;Expat;GPL;GPL-3+
gunicorn, 19.0-1+deb8u1, GPL;GPL-3;GPL-3+;MIT
gzip, 1.6-4, GPL
hdparm, 9.43-2, NO LICENSE FOUND
hostapd, 1:2.8.0-cl3u11, BSD;BSD-3-clause;GPL;GPL-2;ISC;public domain;public-domain
hostname, 3.15, GPL;GPL-2
hsflowd, 2.0.11-cl3u8, Adaptive
i2c-tools, 3.1.1-1, GPL;GPL-2
ifupdown2, 1.2.11-cl3u30, GPL;GPL-2
init, 1.22, BSD;GPL;GPL-3+
init-system-helpers, 1.22, BSD;GPL;GPL-3+
initramfs-tools, 0.120+deb8u3, GPL;GPL-2
initscripts, 2.88dsf-59, GPL;GPL-2
insserv, 1.14.0-5, GPL;GPL-2
installation-report, 2.58, GPL;GPL-2
iorw, 3.0-cl3u4, Cumulus Proprietary;GPL;GPL-2
ipmitool, 1.8.14-4, BSD;BSD-3-clause
iproute, 1:4.2.0-cl3u15, GPL;GPL-2
iproute-doc, 1:4.2.0-cl3u15, GPL;GPL-2
iproute2, 4.2.0-cl3u15, GPL;GPL-2
iproute2-doc, 4.2.0-cl3u15, GPL;GPL-2
iptables, 1.4.21-2-cl3u1, Artistic-2;GPL;GPL-2
iputils-ping, 3:20121221-5+b2, BSD;GPL
irqbalance, 1.0.6-3+deb8u1, GPL
isc-dhcp-client, 4.3.1-6-cl3u14, ISC
isc-dhcp-common, 4.3.1-6-cl3u14, ISC
isc-dhcp-relay, 4.3.1-6-cl3u14, ISC
isc-dhcp-server, 4.3.1-6-cl3u14, ISC
kbd, 1.15.5-2, GPL;GPL-*”;GPL-2”;GPL-2+;GPL-any
keyboard-configuration, 1.123, GPL;GPL-2;public domain
klibc-utils, 2.0.4-2, BSD;GPL;GPL-2
kmod, 18-3, GPL;GPL-2;LGPL-2
krb5-locales, 1.12.1+dfsg-19+deb8u5, BSD;GPL;GPL-2;MIT
laptop-detect, 0.13.7, BSD
less, 458-3, GPL;GPL-3
libacl1, 2.2.52-2, GPL;LGPL-2
libapt-inst1.5, 1.0.9.8.5-cl3u1, GPL;GPL-2;GPLv2+
libapt-pkg-doc, 1.0.9.8.5-cl3u1, GPL;GPL-2;GPLv2+
libapt-pkg4.12, 1.0.9.8.5-cl3u1, GPL;GPL-2;GPLv2+
libasprintf0c2, 0.19.3-2, GFDL;GPL;LGPL
libatomic1, 4.9.2-10+deb8u2, Artistic;GFDL-1;GPL;GPL-2;GPL-3;zlib
libattr1, 1:2.4.47-2, GPL;GPL-2;LGPL-2
libaudit-common, 1:2.4-1, GPL;LGPL-2
libaudit1, 1:2.4-1+b1, GPL;LGPL-2
libauparse0, 1:2.4-1+b1, GPL;LGPL-2
libbind9-90, 1:9.9.5.dfsg-9+deb8u18, ISC
libblkid1, 2.25.2-6, BSD;BSD-2-clause;BSD-3-clause;BSD-4-clause;GPL;GPL-2;GPL-2+;GPL-3;GPL-3+;LGPL;LGPL-2;LGPL-2+;LGPL-2.1+;LGPL-3;LGPL-3+;MIT;public domain;public-domain
libboost-system1.55.0, 1.55.0+dfsg-3, Boost
libboost-thread1.55.0, 1.55.0+dfsg-3, Boost
libbsd0, 0.7.0-2+deb8u1, BSD;public domain
libbz2-1.0, 1.0.6-7+deb8u2, GPL;GPL-2
libc-ares2, 1.10.0-2+deb8u2, GPL;MIT
libc-bin, 2.19-18+deb8u10, BSD;GPL;GPL-2;ISC;LGPL-2
libc6, 2.19-18+deb8u10, BSD;GPL;GPL-2;ISC;LGPL-2
libcap-ng0, 0.7.4-2, GPL;GPL-2;GPL-3;LGPL-2
libcap2, 1:2.24-8, BSD;BSD-3-clause;GPL;GPL-2;GPL-2+
libcap2-bin, 1:2.24-8, BSD;BSD-3-clause;GPL;GPL-2;GPL-2+
libcdt5, 2.38.0-7, Common Public License;GPL;GPL-2;LGPL-3;MIT
libcgraph6, 2.38.0-7, Common Public License;GPL;GPL-2;LGPL-3;MIT
libcgroup1, 0.41-6+deb8u1, BSD;BSD-3-clause;GPL;GPL-2;GPL-3;LGPL-2;LGPL-2.1
libcli1.9, 1.9.7-1, LGPL
libcomerr2, 1.42.12-2+deb8u1, MIT
libcryptsetup4, 2:1.6.6-5, GPL;GPL-2;GPL-2+
libcurl3, 7.38.0-4+deb8u16, BSD;BSD-3-Clause;BSD-4-Clause;curl;ISC
libcurl3-gnutls, 7.38.0-4+deb8u16, BSD;BSD-3-Clause;BSD-4-Clause;curl;ISC
libdb5.3, 9999-cl3u2, GPL;GPL-2
libdbus-1-3, 1.8.22-0+deb8u2, AFL-2.1;BSD;BSD-3-clause;BSD-3-clause-generic;Expat;g10-permissive;GPL;GPL-2;GPL-2+;LGPL-2;LGPL-2+;Tcl-BSDish
libdebconfclient0, 0.192, public domain
libdevmapper-event1.02.1, 2:1.02.90-2.2+deb8u1, GPL;GPL-2;LGPL-2
libdevmapper1.02.1, 2:1.02.90-2.2+deb8u1, GPL;GPL-2;LGPL-2
libdiscover2, 2.1.2-7, GPL
libdns-export100, 1:9.9.5.dfsg-9+deb8u18, ISC
libdns100, 1:9.9.5.dfsg-9+deb8u18, ISC
libdpkg-perl, 1.17.27, BSD;BSD-2-clause;GPL;GPL-2;GPL-2+;public domain;public-domain
libedit2, 3.1-20140620-2, BSD
libefivar0, 0.15-3, GPL;GPL-2;GPL-2.0+;LGPL-2;LGPL-2.0+
libestr0, 0.1.9-1.1, LGPL-2
libevent-2.0-5, 2.0.21-stable-2+deb8u1, BSD
libexpat1, 2.1.0-6+deb8u6, BSD
libffi6, 3.1-2+deb8u1, GPL
libfile-copy-recursive-perl, 0.38-1, Artistic;GPL;GPL-1+ | Artistic
libfile-fnmatch-perl, 0.02-2+b1, Artistic;GPL;GPL-1;GPL-1+
libfontconfig1, 2.11.0-6.3+deb8u1, BSD-like
libfreetype6, 2.5.2-3+deb8u4, BSD;BSD-2-Clause;BSD-3-Clause;Catharon-OSL;FTL;GPL;GPL-2;GPL-2+;GZip;OpenGroup-BSD-like
libfuse2, 2.9.3-15+deb8u3, GPL;GPL-2;GPL-2+;LGPL-2
libgc1c2, 1:7.2d-6.4, MIT-like
libgcc1, 1:4.9.2-10+deb8u2, Artistic;GFDL-1;GPL;GPL-2;GPL-3;zlib
libgcrypt20, 1.6.3-2+deb8u8, BSD;GPL;GPL-2;LGPL;MIT;public domain
libgd3, 2.1.0-5+deb8u13, BSD;BSD-3-clause;GAP~configure;GAP~Makefile.in;GD;GPL;GPL-2;GPL-2+;GPL-2+ with Autoconf exception;HPND;MIT;WEBP;XFIG
libgdbm3, 1.8.3-13.1, GPL;GPL-2
libgeoip1, 1.6.2-4, LGPL-2
libglib2.0-0, 2.42.1-1+deb8u3, LGPL
libgmp10, 2:6.0.0+dfsg-6, GPL;GPL-2;GPL-3;LGPL-3
libgnutls-deb0-28, 3.3.30-0+deb8u1, GFDL-1;GPL;GPL-3);GPLv3+;LGPL;LGPL2.1;LGPL-3;nonstandard see below;The main library is licensed under GNU Lesser
libgnutls-openssl27, 3.3.30-0+deb8u1, GFDL-1;GPL;GPL-3);GPLv3+;LGPL;LGPL2.1;LGPL-3;nonstandard see below;The main library is licensed under GNU Lesser
libgpg-error0, 1.17-3, GPL;GPL-2.1+;LGPL-2
libgpm2, 1.20.4-6.1+b2, GPL;GPL-2
libgssapi-krb5-2, 1.12.1+dfsg-19+deb8u5, BSD;GPL;GPL-2;MIT
libhogweed2, 2.7.1-5+deb8u2, GAP;GPL;GPL-2;GPL-2+;LGPL;LGPL-2;LGPL-2+;LGPL-2.1+;other;public domain;public-domain
libicu52, 52.1-8+deb8u7, BSD
libidn11, 1.29-1+deb8u3, GAP;GFDL-1;GFDL-1.3+;GPL;GPL-2;GPL-3;GPL-3+;LGPL-2;LGPL-2.1+;LGPL-3;LGPL-3+ | GPL-2+
libirs-export91, 1:9.9.5.dfsg-9+deb8u18, ISC
libisc-export95, 1:9.9.5.dfsg-9+deb8u18, ISC
libisc95, 1:9.9.5.dfsg-9+deb8u18, ISC
libisccc90, 1:9.9.5.dfsg-9+deb8u18, ISC
libisccfg-export90, 1:9.9.5.dfsg-9+deb8u18, ISC
libisccfg90, 1:9.9.5.dfsg-9+deb8u18, ISC
libjansson4, 2.7-1+deb8u1, Expat
libjbig0, 2.1-3.1, GPL;GPL-2;GPL-2+
libjpeg62-turbo, 1:1.3.1-12+deb8u2, BSD;BSD-3;BSD-BY-LC-NE;Expat;MIT
libjs-jquery, 1.7.2+dfsg-3.2+deb8u7, BSD;GPL;GPL-2;MIT
libjs-sphinxdoc, 1.2.3+dfsg-1, MIT;Python
libjs-underscore, 1.7.0~dfsg-1, BSD;BSD-3-clause;Expat;Expat~0-clause;GPL;GPL-2;GPL-3;GPL-3+;MIT
libjson-c2, 0.11-4, MIT
libk5crypto3, 1.12.1+dfsg-19+deb8u5, BSD;GPL;GPL-2;MIT
libkeyutils1, 1.5.9-5+b1, GPL;GPL-2;GPL-2+;LGPL-2;LGPL-2+
libklibc, 2.0.4-2, BSD;GPL;GPL-2
libkmod2, 18-3, GPL;GPL-2;LGPL-2
